"№";"Изображение";"Имя";"Номер заказа";"Категория";"Базовая цена";"Итоговая Цена";"Количество";"Статус";
"32";"http://citymotors.com.ua/img/p/6/8/68.jpg";"БОЛТ M12X1,5X26 ЦИНК КОНУС ОБЛЕГЧЕН КЛЮЧ 17 ММ";"075102 L";"Гайки и болты";"0.800000";"0.8";"20";"1";
"212";"http://citymotors.com.ua/img/p/8/4/6/846.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 73,1-71,1";"HCR731-711";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"389";"http://citymotors.com.ua/img/p/8/1/2/812.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 72,2-58,1";"HCR722-581";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"567";"http://citymotors.com.ua/img/p/1/3/3/5/1335.jpg";"Шпилька колесная забивная для Ford Daewoo M12x1.5x65";"СRP1303A65";"Шпильки";"1.520000";"1.52";"20";"1";
"781";"http://citymotors.com.ua/img/p/1/6/4/0/1640.jpg";"Techline 540BD W6 PCD5x112 ET40 DIA57.1";"TL540BDW6PCD5x112ET40DIA57.1";"Диски";"63.734093";"76.48";"12";"1";
"156";"http://citymotors.com.ua/img/p/3/0/2/302.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 67,1-57,1";"HCR671-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"332";"http://citymotors.com.ua/img/p/6/8/6/686.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 66,6-57,1";"HCR666-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"511";"http://citymotors.com.ua/img/p/1/1/8/0/1180.jpg";"Проставка колесная 5мм 5х100/112 57,1";"5SP5100/112 57,1";"Проставки";"19.200000";"19.2";"20";"1";
"725";"http://citymotors.com.ua/img/p/1/5/8/4/1584.jpg";"Techline 526S W5.5 PCD4x100 ET45 DIA60.1";"TL526SW5.5PCD4x100ET45DIA60.1";"Диски";"55.666845";"66.8";"12";"1";
"901";"http://citymotors.com.ua/img/p/1/8/0/6/1806.jpg";"Набор инструментов Alloid 1/2" и 1/4" 6-гр. 94 предмета (НГ-4094П-6) ";"НГ-4094П-6";"Инструменты";"52.000000";"52";"10";"1";
"100";"http://citymotors.com.ua/img/p/2/0/0/200.jpg";"ГАЙКА M12X1,25X30 ХРОМ КОНУС ВН.ШЕСТИГРАННИК 12ММ";"206344 Cr";"Гайки и болты";"0.650000";"0.65";"100";"1";
"276";"http://citymotors.com.ua/img/p/5/4/0/540.jpg";"Гайки секретные 1/2"-20 Высота 36мм Хром Конус Вр.кольцо кл.17-19мм";"416442Х2";"Секретки на колеса";"17.600000";"17.6";"1";"1";
"669";"http://citymotors.com.ua/img/p/1/5/2/8/1528.jpg";"Techline 305BD W4.5 PCD4x114.3 ET43 DIA69.1";"TL305BDW4.5PCD4x114.3ET43DIA69.1";"Диски";"42.677915";"51.21";"12";"1";
"845";"http://citymotors.com.ua/img/p/1/7/0/4/1704.jpg";"Techline 655BD W6.5 PCD5x114.3 ET46 DIA67.1";"TL655BDW6.5PCD5x114.3ET46DIA67.1";"Диски";"73.134848";"87.76";"12";"1";
"40";"http://citymotors.com.ua/img/p/8/2/82.jpg";"БОЛТ M14X1,25X25 ЦИНК КОНУС КЛЮЧ 17 ММ";"077100 Z";"Гайки и болты";"26.000000";"26";"100";"0";
"220";"http://citymotors.com.ua/img/p/4/3/0/430.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 76,1-58,1";"HCR761-581";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"397";"http://citymotors.com.ua/img/p/8/2/1/821.jpg";"Гайки секретные M14X1,5X51 Конус Вр.кольцо кл.17-19мм";"726448EM";"Секретки на колеса";"30.000000";"30";"10";"1";
"576";"http://citymotors.com.ua/img/p/1/3/5/3/1353.jpg";"Шпилька колесная забивная для Toyota и Mitsubishi M12x1.5x65";"СRP1420A65";"Шпильки";"1.520000";"1.52";"20";"1";
"789";"http://citymotors.com.ua/img/p/1/6/4/8/1648.jpg";"Techline 1504BD W6 PCD4x100 ET46 DIA67.1";"TL1504BDW6PCD4x100ET46DIA67.1";"Диски";"59.856518";"71.82";"12";"1";
"164";"http://citymotors.com.ua/img/p/7/1/3/713.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 69,1-54,1";"HCR691-541";"Центровочные кольца";"1.200000";"1.2";"20";"1";
